trackName,artistName,genre,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
(L)only Child,salem ilese,alt z,2237969,0.645,0.611,8,-5.925,0,0.137,0.29,2.05e-05,0.237,0.645,157.475,144468,3
13 Missed Calls,Zach Hood,alt z,3248068,0.639,0.724,7,-6.346,1,0.0664,0.452,0,0.159,0.522,129.712,209538,3
18,Jeremy Zucker,alt z,150773,0.783,0.599,4,-5.688,1,0.0441,0.0445,0,0.108,0.611,113.97,150773,4
4am,girl in red,alt z,18702,0.418,0.392,9,-13.771,1,0.0383,0.663,0.335,0.204,0.295,168.902,110862,4
608,Carlie Hanson,alt z,2208366,0.614,0.511,11,-8.758,0,0.0294,0.673,0.00176,0.339,0.486,148.024,204760,3
7UP,Boy In Space,alt z,4569846,0.618,0.47,0,-7.379,1,0.0271,0.0169,0,0.111,0.228,135.034,203555,4
85%,Loote,alt z,463954,0.574,0.651,7,-7.585,1,0.046,0.346,0,0.149,0.368,140.017,174107,4
911,Ellise,alt z,3234388,0.765,0.53,10,-7.18,0,0.0833,0.509,4.15e-06,0.117,0.529,130.104,188387,4
:( (sad face),Bahari,alt z,1700511,0.661,0.552,8,-8.015,0,0.0278,0.242,0,0.0953,0.408,110.072,188182,4
A Little Bit Yours,JP Saxe,alt z,99339,0.598,0.295,1,-8.553,1,0.0276,0.735,0,0.107,0.314,87.025,225680,4
A Little More,Catie Turner,alt z,6158627,0.792,0.484,4,-9.897,1,0.192,0.477,0,0.106,0.245,96.939,224528,4
Adult,Sasha Alex Sloan,alt z,367079,0.607,0.849,8,-6.389,1,0.0444,0.174,2.03e-05,0.0964,0.487,89.988,184253,4
Again,Sasha Alex Sloan,alt z,397451,0.62,0.553,2,-10.228,0,0.0517,0.778,0.00191,0.0916,0.632,148.978,194375,4
All Love,FLETCHER,alt z,2190329,0.665,0.488,4,-7.177,1,0.0981,0.272,0.000261,0.181,0.477,142.087,193600,4
Annabelle's Homework,Alec Benjamin,alt z,3225244,0.676,0.634,8,-5.377,1,0.0385,0.701,1.63e-06,0.223,0.33,86.004,192501,4
Apple Pie,Lizzy McAlpine,alt z,3555818,0.518,0.208,10,-12.273,1,0.0363,0.855,5.15e-06,0.12,0.42,179.836,259167,4
Are you happy?,shy martin,alt z,787707,0.632,0.578,9,-7.657,0,0.0905,0.714,0,0.42,0.297,139.324,157556,4
Army,Besomorph,alt z,1640994,0.523,0.699,6,-3.84,0,0.0293,0.108,0.000607,0.205,0.132,74.983,203500,4
Around My Neck,FINNEAS,alt z,27636,0.965,0.303,1,-10.49,1,0.0561,0.0524,0.00405,0.12,0.414,107.048,175528,4
As It Was - Spotify Singles,Sasha Alex Sloan,alt z,69619,0.529,0.174,9,-13.751,1,0.0373,0.845,0,0.0567,0.311,136.112,206187,4
Assassin,Au/Ra,alt z,1571376,0.49,0.644,10,-9.074,0,0.349,0.0631,2.87e-06,0.384,0.409,193.99,189341,4
Backseat Rider,Sara Kays,alt z,6047174,0.569,0.538,2,-9.003,1,0.0323,0.593,0,0.23,0.552,104.05,208091,4
Bad For Me,Ber,alt z,158520,0.589,0.256,3,-11.446,1,0.0369,0.949,8.61e-06,0.248,0.63,79.93,158520,4
Bedroom Ceiling - Ouse Remix,Sody,alt z,7135830,0.44,0.441,6,-8.398,1,0.0748,0.792,0,0.105,0.343,122.666,205048,4
Believer,Cyn,alt z,2121375,0.724,0.665,1,-5.312,0,0.0687,0.722,0,0.194,0.751,112.992,203653,4
Bipolar,Bahari,alt z,4613799,0.607,0.453,1,-8.129,1,0.0373,0.459,2.4e-05,0.0928,0.345,76.865,159653,4
Bitch (I Said It),Sody,alt z,2312901,0.755,0.529,0,-6.066,0,0.0986,0.0834,2.77e-05,0.27,0.228,112.035,191463,4
afterthoughts,renforshort,alt z,1402568,0.51,0.229,6,-11.394,1,0.0352,0.86,3.03e-05,0.118,0.107,93.309,175321,4
all my ghosts,Lizzy McAlpine,alt z,10733257,0.638,0.293,3,-11.703,1,0.0478,0.342,0.000624,0.448,0.488,155.083,197032,4
all the kids are depressed,Jeremy Zucker,alt z,3278108,0.773,0.437,9,-8.281,1,0.0963,0.836,2.42e-05,0.544,0.707,103.861,169973,4
as long as you care,Ruel,alt z,699904,0.55,0.591,1,-6.833,1,0.0377,0.00692,0,0.11,0.308,78.68,193189,4
at least i look cool,Sasha Alex Sloan,alt z,195895,0.828,0.349,6,-9.96,0,0.17,0.647,1.57e-05,0.105,0.282,130.074,171695,4
avalanche,Christian French,alt z,5049390,0.636,0.864,11,-3.919,1,0.0491,0.0314,0,0.102,0.892,160.009,199512,4
bad ones,Tate McRae,alt z,2892026,0.692,0.431,6,-11.884,1,0.0335,0.305,1.39e-05,0.132,0.327,138.925,183133,4
blind,ROLE MODEL,alt z,1239805,0.765,0.663,0,-5.223,1,0.0652,0.141,0.000297,0.0924,0.686,150.091,153293,4
butterfly,Sody,alt z,30000,0.588,0.625,0,-9.502,1,0.212,0.69,4.38e-06,0.0799,0.116,121.809,189013,4
buzzkill,MOTHICA,alt z,139800,0.638,0.755,8,-5.614,0,0.0682,0.362,3.09e-06,0.329,0.739,169.953,140111,4
can I call you back?,shy martin,alt z,153058,0.647,0.319,9,-9.987,1,0.0367,0.827,0,0.133,0.267,126.243,153059,4
comethru,Jeremy Zucker,alt z,834797,0.795,0.178,0,-11.991,1,0.0574,0.607,0,0.623,0.608,93.982,181613,4
courage,Ruel,alt z,209827,0.589,0.446,7,-5.501,1,0.0285,0.0263,0,0.0869,0.292,81.983,209827,4
distance,Ruel,alt z,179214,0.562,0.329,3,-8.556,0,0.162,0.502,0,0.562,0.502,148.524,179213,4
erase me,Lizzy McAlpine,alt z,336211,0.415,0.45,6,-8.529,0,0.0599,0.578,2.82e-05,0.155,0.305,93.17,214468,4
erase me (feat. Jacob Collier),Lizzy McAlpine,alt z,5016936,0.415,0.45,6,-8.529,0,0.0599,0.578,2.82e-05,0.155,0.305,93.17,214468,4
fall apart (with glaive),renforshort,alt z,559079,0.57,0.746,10,-6.464,1,0.104,0.144,7.31e-06,0.0706,0.27,158.061,156225,4
feel like shit,Tate McRae,alt z,34162,0.519,0.383,7,-7.174,1,0.0495,0.572,0,0.124,0.157,144.565,203480,4
feel something,Bea Miller,alt z,958366,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,180161,4
flowers & sex,EMELINE,alt z,2764932,0.548,0.363,5,-7.766,1,0.433,0.047,0,0.066,0.484,170.407,148588,4
girls girls girls,FLETCHER,alt z,2095845,0.649,0.478,0,-8.834,1,0.156,0.658,0,0.131,0.468,139.859,161247,4
golden years,Christian French,alt z,509232,0.626,0.573,1,-7.825,1,0.115,0.41,0,0.219,0.68,149.993,169745,4
head first,Christian French,alt z,9940,0.909,0.392,6,-6.221,0,0.0652,0.278,1.77e-06,0.106,0.61,127.052,154961,4
hornylovesickmess,girl in red,alt z,1101013,0.543,0.465,8,-8.914,1,0.0554,0.337,0.000543,0.142,0.158,143.121,175695,4
hurts 2 hate somebody (with Chase Atlantic & No Rome),ELIO,alt z,6334026,0.623,0.683,7,-3.512,1,0.0437,0.0995,0,0.372,0.747,90.021,186665,4
i can't breathe,Bea Miller,alt z,213986,0.347,0.209,11,-11.152,1,0.0273,0.893,0.00287,0.138,0.0735,82.878,213987,4
i don't want to watch the world end with someone else,Clinton Kane,alt z,2567940,0.535,0.359,2,-9.343,1,0.0607,0.771,0,0.111,0.488,154.163,184505,4
i think too much,Christian French,alt z,2827372,0.675,0.695,7,-7.859,0,0.0753,0.00383,2.95e-05,0.0637,0.662,92.025,202779,4
if i were a friend,BLÜ EYES,alt z,774610,0.543,0.471,11,-9.904,1,0.0438,0.616,6.77e-05,0.161,0.0775,91.921,152985,3
intimate moments,Isaac Dunbar,alt z,3407685,0.524,0.664,2,-6.214,1,0.0405,0.0106,0,0.126,0.432,129.897,210507,4
